concentration,-5C,0C,10C,20C,40C,60C,80C,100C
1,1.0048,1.0052,1.0048,1.0032,0.9970,0.9881,0.9768,0.9636
2,1.0104,1.0106,1.0100,1.0082,1.0019,.9930,0.9819,.9688
4,1.0213,1.0213,1.0202,1.0181,1.0116,1.0026,0.9919,.9791
6,1.0321,1.0319,1.0303,1.0279,1.0211,1.0121,1.0016,.9892
8,1.0428,1.0423,1.0403,1.0376,1.0305,1.0215,1.0111,.9992
10,1.0536,1.0528,1.0504,1.0474,1.0400,1.0310,1.0206,1.0090
12,1.0645,1.0634,1.0607,1.0574,1.0497,1.0406,1.0302,1.0188
14,1.0754,1.0741,1.0711,1.0675,1.0594,1.0502,1.0398,1.0286
16,1.0864,1.0849,1.0815,1.0776,1.0692,1.0598,1.0494,1.0383
18,1.0975,1.0958,1.0920,1.0878,1.0790,1.0694,1.0590,1.0479
20,1.1087,1.1067,1.1025,1.0980,1.0888,1.0790,1.0685,1.0574
22,1.1200,1.1177,1.1131,1.1083,1.0986,1.0886,1.0780,1.0668
24,1.1314,1.1287,1.1238,1.1187,1.1085,1.0982,1.0874,1.076
26,1.1426,1.1396,1.1344,1.1290,1.1183,1.1076,1.0967,1.0853
28,1.1537,1.1505,1.1449,1.1392,1.1280,1.1169,1.1058,1.0942
30,1.1648,1.1613,1.1553,1.1493,1.1376,1.1260,1.1149,1.1030
32,,,,1.1593,,,,
34,,,,1.1691,,,,
36,,,,1.1789,,,,
38,,,,1.1885,,,,
40,,,,1.1980,,,,
